Method,Type,Status,Distribution,Size,Time
BucketInsertion_256,int32,1,normal,100,1.82841e-005
BucketInsertion_256,int64,1,normal,100,1.38959e-005
BucketInsertion_256,float,1,normal,100,2.4135e-005
BucketInsertion_256,double,1,normal,100,1.13361e-005
BucketInsertion_256,int32,1,normal,1000,0.000227088
BucketInsertion_256,int64,1,normal,1000,0.000114824
BucketInsertion_256,float,1,normal,1000,0.00011519
BucketInsertion_256,double,1,normal,1000,9.98311e-005
BucketInsertion_256,int32,1,normal,10000,0.00108607
BucketInsertion_256,int64,1,normal,10000,0.0015578
BucketInsertion_256,float,1,normal,10000,0.00119651
BucketInsertion_256,double,1,normal,10000,0.00119322
BucketInsertion_256,int32,1,normal,100000,0.0104815
BucketInsertion_256,int64,1,normal,100000,0.0256844
BucketInsertion_256,float,1,normal,100000,0.0304459
BucketInsertion_256,double,1,normal,100000,0.0231743
BucketInsertion_256,int32,1,normal,500000,0.0591201
BucketInsertion_256,int64,1,normal,500000,0.0612458
BucketInsertion_256,float,1,normal,500000,0.101167
BucketInsertion_256,double,1,normal,500000,0.0874239
BucketInsertion_256,int32,1,normal,1000000,0.118218
BucketInsertion_256,int64,1,normal,1000000,0.126983
BucketInsertion_256,float,1,normal,1000000,0.157912
BucketInsertion_256,double,1,normal,1000000,0.172047
BucketInsertion_256,int32,1,normal,5000000,0.766853
BucketInsertion_256,int64,1,normal,5000000,1.05925
BucketInsertion_256,float,1,normal,5000000,1.01118
BucketInsertion_256,double,1,normal,5000000,1.18704
BucketInsertion_256,int32,1,normal,10000000,1.68434
BucketInsertion_256,int64,1,normal,10000000,2.00518
BucketInsertion_256,float,1,normal,10000000,2.20709
BucketInsertion_256,double,1,normal,10000000,2.87049
