Method,Type,Status,Distribution,Size,Time
BucketStandart_8192,int32,1,uniform,100,4.16877e-005
BucketStandart_8192,int64,1,uniform,100,2.4135e-005
BucketStandart_8192,float,1,uniform,100,1.20675e-005
BucketStandart_8192,double,1,uniform,100,1.17018e-005
BucketStandart_8192,int32,1,uniform,1000,0.000119578
BucketStandart_8192,int64,1,uniform,1000,7.38677e-005
BucketStandart_8192,float,1,uniform,1000,6.98452e-005
BucketStandart_8192,double,1,uniform,1000,6.94795e-005
BucketStandart_8192,int32,1,uniform,10000,0.00112447
BucketStandart_8192,int64,1,uniform,10000,0.00143384
BucketStandart_8192,float,1,uniform,10000,0.00129927
BucketStandart_8192,double,1,uniform,10000,0.00157097
BucketStandart_8192,int32,1,uniform,100000,0.0157974
BucketStandart_8192,int64,1,uniform,100000,0.0124032
BucketStandart_8192,float,1,uniform,100000,0.0123743
BucketStandart_8192,double,1,uniform,100000,0.0128029
BucketStandart_8192,int32,1,uniform,500000,0.0999982
BucketStandart_8192,int64,1,uniform,500000,0.0532177
BucketStandart_8192,float,1,uniform,500000,0.0511907
BucketStandart_8192,double,1,uniform,500000,0.0515944
BucketStandart_8192,int32,1,uniform,1000000,0.106158
BucketStandart_8192,int64,1,uniform,1000000,0.141623
BucketStandart_8192,float,1,uniform,1000000,0.126836
BucketStandart_8192,double,1,uniform,1000000,0.108663
BucketStandart_8192,int32,1,uniform,5000000,0.469679
BucketStandart_8192,int64,1,uniform,5000000,0.749994
BucketStandart_8192,float,1,uniform,5000000,0.716917
BucketStandart_8192,double,1,uniform,5000000,0.738296
BucketStandart_8192,int32,1,uniform,10000000,1.08845
BucketStandart_8192,int64,1,uniform,10000000,1.2726
BucketStandart_8192,float,1,uniform,10000000,1.214
BucketStandart_8192,double,1,uniform,10000000,1.38898
