Method,Type,Status,Distribution,Size,Time
BucketInsertion_256,int32,1,normal,100,6.94795e-005
BucketInsertion_256,int64,1,normal,100,1.49929e-005
BucketInsertion_256,float,1,normal,100,9.87341e-006
BucketInsertion_256,double,1,normal,100,1.68214e-005
BucketInsertion_256,int32,1,normal,1000,0.000200394
BucketInsertion_256,int64,1,normal,1000,0.00177502
BucketInsertion_256,float,1,normal,1000,0.000108607
BucketInsertion_256,double,1,normal,1000,0.000101659
BucketInsertion_256,int32,1,normal,10000,0.00139069
BucketInsertion_256,int64,1,normal,10000,0.001187
BucketInsertion_256,float,1,normal,10000,0.00103598
BucketInsertion_256,double,1,normal,10000,0.000948578
BucketInsertion_256,int32,1,normal,100000,0.00861509
BucketInsertion_256,int64,1,normal,100000,0.0139431
BucketInsertion_256,float,1,normal,100000,0.0118686
BucketInsertion_256,double,1,normal,100000,0.0115457
BucketInsertion_256,int32,1,normal,500000,0.0922436
BucketInsertion_256,int64,1,normal,500000,0.0614788
BucketInsertion_256,float,1,normal,500000,0.0546226
BucketInsertion_256,double,1,normal,500000,0.0801713
BucketInsertion_256,int32,1,normal,1000000,0.102056
BucketInsertion_256,int64,1,normal,1000000,0.12118
BucketInsertion_256,float,1,normal,1000000,0.093194
BucketInsertion_256,double,1,normal,1000000,0.112436
BucketInsertion_256,int32,1,normal,5000000,0.585843
BucketInsertion_256,int64,1,normal,5000000,0.734164
BucketInsertion_256,float,1,normal,5000000,0.590492
BucketInsertion_256,double,1,normal,5000000,0.950841
BucketInsertion_256,int32,1,normal,10000000,1.54861
BucketInsertion_256,int64,1,normal,10000000,2.38243
BucketInsertion_256,float,1,normal,10000000,1.54517
BucketInsertion_256,double,1,normal,10000000,2.15324
