Method,Type,Status,Distribution,Size,Time
BucketInsertion_256,float,1,uniform,100,1.7187e-005
BucketInsertion_256,double,1,uniform,100,1.609e-005
BucketInsertion_256,float,1,uniform,1000,0.000146273
BucketInsertion_256,double,1,uniform,1000,0.000106048
BucketInsertion_256,float,1,uniform,10000,0.0012616
BucketInsertion_256,double,1,uniform,10000,0.00122284
BucketInsertion_256,float,1,uniform,100000,0.00971397
BucketInsertion_256,double,1,uniform,100000,0.0122851
BucketInsertion_256,float,1,uniform,500000,0.053791
BucketInsertion_256,double,1,uniform,500000,0.0651476
BucketInsertion_256,float,1,uniform,1000000,0.104385
BucketInsertion_256,double,1,uniform,1000000,0.12117
BucketInsertion_256,float,1,uniform,5000000,0.572705
BucketInsertion_256,double,1,uniform,5000000,0.701841
BucketInsertion_256,float,1,uniform,10000000,1.35311
BucketInsertion_256,double,1,uniform,10000000,1.69862
