Method,Type,Status,Distribution,Size,Time
BucketStandart_8192,int32,1,normal,100,1.609e-005
BucketStandart_8192,int64,1,normal,100,1.38959e-005
BucketStandart_8192,float,1,normal,100,1.02391e-005
BucketStandart_8192,double,1,normal,100,1.02391e-005
BucketStandart_8192,int32,1,normal,1000,0.000157609
BucketStandart_8192,int64,1,normal,1000,8.99577e-005
BucketStandart_8192,float,1,normal,1000,0.000105316
BucketStandart_8192,double,1,normal,1000,8.33754e-005
BucketStandart_8192,int32,1,normal,10000,0.00108059
BucketStandart_8192,int64,1,normal,10000,0.000942727
BucketStandart_8192,float,1,normal,10000,0.000957355
BucketStandart_8192,double,1,normal,10000,0.00105024
BucketStandart_8192,int32,1,normal,100000,0.0104486
BucketStandart_8192,int64,1,normal,100000,0.0121695
BucketStandart_8192,float,1,normal,100000,0.0101619
BucketStandart_8192,double,1,normal,100000,0.0118733
BucketStandart_8192,int32,1,normal,500000,0.0547623
BucketStandart_8192,int64,1,normal,500000,0.0848626
BucketStandart_8192,float,1,normal,500000,0.0494935
BucketStandart_8192,double,1,normal,500000,0.0606315
BucketStandart_8192,int32,1,normal,1000000,0.0910481
BucketStandart_8192,int64,1,normal,1000000,0.0977335
BucketStandart_8192,float,1,normal,1000000,0.0956239
BucketStandart_8192,double,1,normal,1000000,0.119263
BucketStandart_8192,int32,1,normal,5000000,0.454424
BucketStandart_8192,int64,1,normal,5000000,0.504625
BucketStandart_8192,float,1,normal,5000000,0.487135
BucketStandart_8192,double,1,normal,5000000,0.574031
BucketStandart_8192,int32,1,normal,10000000,1.23044
BucketStandart_8192,int64,1,normal,10000000,1.46125
BucketStandart_8192,float,1,normal,10000000,1.18416
BucketStandart_8192,double,1,normal,10000000,1.34921
