Method,Type,Status,Distribution,Size,Time
BucketStandartNormal_8192,float,1,normal,100,5.30238e-005
BucketStandartNormal_8192,double,1,normal,100,2.66948e-005
BucketStandartNormal_8192,float,1,normal,1000,0.000208073
BucketStandartNormal_8192,double,1,normal,1000,0.000425288
BucketStandartNormal_8192,float,1,normal,10000,0.00131316
BucketStandartNormal_8192,double,1,normal,10000,0.00333465
BucketStandartNormal_8192,float,1,normal,100000,0.017537
BucketStandartNormal_8192,double,1,normal,100000,0.0150701
BucketStandartNormal_8192,float,1,normal,500000,0.0778781
BucketStandartNormal_8192,double,1,normal,500000,0.0632114
BucketStandartNormal_8192,float,1,normal,1000000,0.130728
BucketStandartNormal_8192,double,1,normal,1000000,0.133292
BucketStandartNormal_8192,float,1,normal,5000000,0.58099
BucketStandartNormal_8192,double,1,normal,5000000,0.665029
BucketStandartNormal_8192,float,1,normal,10000000,1.09245
BucketStandartNormal_8192,double,1,normal,10000000,1.50261
