Method,Type,Status,Distribution,Size,Time
BucketStandart_8192,float,1,uniform,100,6.21659e-005
BucketStandart_8192,double,1,uniform,100,2.85232e-005
BucketStandart_8192,float,1,uniform,1000,0.000224894
BucketStandart_8192,double,1,uniform,1000,9.61743e-005
BucketStandart_8192,float,1,uniform,10000,0.00119066
BucketStandart_8192,double,1,uniform,10000,0.00113178
BucketStandart_8192,float,1,uniform,100000,0.0109829
BucketStandart_8192,double,1,uniform,100000,0.0131942
BucketStandart_8192,float,1,uniform,500000,0.0505844
BucketStandart_8192,double,1,uniform,500000,0.0672006
BucketStandart_8192,float,1,uniform,1000000,0.0978476
BucketStandart_8192,double,1,uniform,1000000,0.112898
BucketStandart_8192,float,1,uniform,5000000,0.496271
BucketStandart_8192,double,1,uniform,5000000,0.538555
BucketStandart_8192,float,1,uniform,10000000,1.02602
BucketStandart_8192,double,1,uniform,10000000,1.1729
