Method,Type,Status,Distribution,Size,Time
Heap_8,int32,1,uniform,100,4.20534e-005
Heap_8,int64,1,uniform,100,7.31363e-006
Heap_8,float,1,uniform,100,8.77636e-006
Heap_8,double,1,uniform,100,9.14204e-006
Heap_8,int32,1,uniform,1000,0.000152855
Heap_8,int64,1,uniform,1000,9.58086e-005
Heap_8,float,1,uniform,1000,0.000143713
Heap_8,double,1,uniform,1000,0.000114824
Heap_8,int32,1,uniform,10000,0.00115007
Heap_8,int64,1,uniform,10000,0.00112191
Heap_8,float,1,uniform,10000,0.00144664
Heap_8,double,1,uniform,10000,0.00177941
Heap_8,int32,1,uniform,100000,0.0382042
Heap_8,int64,1,uniform,100000,0.0171951
Heap_8,float,1,uniform,100000,0.0218283
Heap_8,double,1,uniform,100000,0.0268151
Heap_8,int32,1,uniform,500000,0.268132
Heap_8,int64,1,uniform,500000,0.162173
Heap_8,float,1,uniform,500000,0.173306
Heap_8,double,1,uniform,500000,0.226986
Heap_8,int32,1,uniform,1000000,0.234708
Heap_8,int64,1,uniform,1000000,0.267105
Heap_8,float,1,uniform,1000000,0.27647
Heap_8,double,1,uniform,1000000,0.394936
Heap_8,int32,1,uniform,5000000,3.50402
Heap_8,int64,1,uniform,5000000,3.43853
Heap_8,float,1,uniform,5000000,2.67293
Heap_8,double,1,uniform,5000000,3.27355
Heap_8,int32,1,uniform,10000000,5.06961
Heap_8,int64,1,uniform,10000000,5.44389
Heap_8,float,1,uniform,10000000,5.30257
Heap_8,double,1,uniform,10000000,6.42933
