Method,Type,Status,Distribution,Size,Time
HeapStandart,int32,1,normal,100,8.045e-006
HeapStandart,int64,1,normal,100,1.46273e-005
HeapStandart,float,1,normal,100,4.38818e-006
HeapStandart,double,1,normal,100,5.11955e-006
HeapStandart,int32,1,normal,1000,5.04641e-005
HeapStandart,int64,1,normal,1000,5.15611e-005
HeapStandart,float,1,normal,1000,8.52038e-005
HeapStandart,double,1,normal,1000,5.88747e-005
HeapStandart,int32,1,normal,10000,0.00067322
HeapStandart,int64,1,normal,10000,0.000737946
HeapStandart,float,1,normal,10000,0.000973445
HeapStandart,double,1,normal,10000,0.000730998
HeapStandart,int32,1,normal,100000,0.0139782
HeapStandart,int64,1,normal,100000,0.0101641
HeapStandart,float,1,normal,100000,0.0112454
HeapStandart,double,1,normal,100000,0.0140327
HeapStandart,int32,1,normal,500000,0.0832734
HeapStandart,int64,1,normal,500000,0.086246
HeapStandart,float,1,normal,500000,0.0579715
HeapStandart,double,1,normal,500000,0.0886559
HeapStandart,int32,1,normal,1000000,0.146252
HeapStandart,int64,1,normal,1000000,0.168885
HeapStandart,float,1,normal,1000000,0.160708
HeapStandart,double,1,normal,1000000,0.189945
HeapStandart,int32,1,normal,5000000,2.06256
HeapStandart,int64,1,normal,5000000,2.20847
HeapStandart,float,1,normal,5000000,1.4251
HeapStandart,double,1,normal,5000000,1.78323
HeapStandart,int32,1,normal,10000000,6.50054
HeapStandart,int64,1,normal,10000000,6.94233
HeapStandart,float,1,normal,10000000,3.67697
HeapStandart,double,1,normal,10000000,6.00331
