Method,Type,Status,Distribution,Size,Time
Merge_100,int32,1,uniform,100,3.65682e-006
Merge_100,int64,1,uniform,100,3.29113e-006
Merge_100,float,1,uniform,100,3.29113e-006
Merge_100,double,1,uniform,100,3.65682e-006
Merge_100,int32,1,uniform,1000,4.57102e-005
Merge_100,int64,1,uniform,1000,4.827e-005
Merge_100,float,1,uniform,1000,4.60759e-005
Merge_100,double,1,uniform,1000,4.60759e-005
Merge_100,int32,1,uniform,10000,0.00342753
Merge_100,int64,1,uniform,10000,0.00104439
Merge_100,float,1,uniform,10000,0.00111643
Merge_100,double,1,uniform,10000,0.00108534
Merge_100,int32,1,uniform,100000,0.00959366
Merge_100,int64,1,uniform,100000,0.0120587
Merge_100,float,1,uniform,100000,0.0103056
Merge_100,double,1,uniform,100000,0.00952528
Merge_100,int32,1,uniform,500000,0.0851007
Merge_100,int64,1,uniform,500000,0.106134
Merge_100,float,1,uniform,500000,0.0553474
Merge_100,double,1,uniform,500000,0.0667029
Merge_100,int32,1,uniform,1000000,0.110318
Merge_100,int64,1,uniform,1000000,0.138736
Merge_100,float,1,uniform,1000000,0.198641
Merge_100,double,1,uniform,1000000,0.133398
Merge_100,int32,1,uniform,5000000,0.67551
Merge_100,int64,1,uniform,5000000,0.687337
Merge_100,float,1,uniform,5000000,0.635998
Merge_100,double,1,uniform,5000000,0.691226
Merge_100,int32,1,uniform,10000000,1.26515
Merge_100,int64,1,uniform,10000000,1.37864
Merge_100,float,1,uniform,10000000,1.31779
Merge_100,double,1,uniform,10000000,1.47469
