Method,Type,Status,Distribution,Size,Time
Quick,int32,1,uniform,100,1.17018e-005
Quick,int64,1,uniform,100,1.13361e-005
Quick,float,1,uniform,100,1.09704e-005
Quick,double,1,uniform,100,1.35302e-005
Quick,int32,1,uniform,1000,0.000149929
Quick,int64,1,uniform,1000,0.000245372
Quick,float,1,uniform,1000,0.000198565
Quick,double,1,uniform,1000,0.000118115
Quick,int32,1,uniform,10000,0.00116689
Quick,int64,1,uniform,10000,0.00111387
Quick,float,1,uniform,10000,0.00112337
Quick,double,1,uniform,10000,0.0011625
Quick,int32,1,uniform,100000,0.0176474
Quick,int64,1,uniform,100000,0.0152822
Quick,float,1,uniform,100000,0.0170079
Quick,double,1,uniform,100000,0.0159649
Quick,int32,1,uniform,500000,0.0878192
Quick,int64,1,uniform,500000,0.0931216
Quick,float,1,uniform,500000,0.0928173
Quick,double,1,uniform,500000,0.088966
Quick,int32,1,uniform,1000000,0.141152
Quick,int64,1,uniform,1000000,0.14081
Quick,float,1,uniform,1000000,0.207286
Quick,double,1,uniform,1000000,0.163689
Quick,int32,1,uniform,5000000,1.1232
Quick,int64,1,uniform,5000000,0.951474
Quick,float,1,uniform,5000000,0.86345
Quick,double,1,uniform,5000000,0.806045
Quick,int32,1,uniform,10000000,1.5358
Quick,int64,1,uniform,10000000,1.58475
Quick,float,1,uniform,10000000,1.70085
Quick,double,1,uniform,10000000,1.80179
