Method,Type,Status,Distribution,Size,Time
QuickLomuto,int32,1,uniform,100,8.77636e-006
QuickLomuto,int64,1,uniform,100,7.31363e-006
QuickLomuto,float,1,uniform,100,7.31363e-006
QuickLomuto,double,1,uniform,100,6.94795e-006
QuickLomuto,int32,1,uniform,1000,7.42334e-005
QuickLomuto,int64,1,uniform,1000,8.33754e-005
QuickLomuto,float,1,uniform,1000,0.000123966
QuickLomuto,double,1,uniform,1000,7.38677e-005
QuickLomuto,int32,1,uniform,10000,0.000860449
QuickLomuto,int64,1,uniform,10000,0.00100855
QuickLomuto,float,1,uniform,10000,0.000840702
QuickLomuto,double,1,uniform,10000,0.00158633
QuickLomuto,int32,1,uniform,100000,0.0128661
QuickLomuto,int64,1,uniform,100000,0.012231
QuickLomuto,float,1,uniform,100000,0.0103689
QuickLomuto,double,1,uniform,100000,0.00986426
QuickLomuto,int32,1,uniform,500000,0.0594423
QuickLomuto,int64,1,uniform,500000,0.0616868
QuickLomuto,float,1,uniform,500000,0.0663226
QuickLomuto,double,1,uniform,500000,0.064006
QuickLomuto,int32,1,uniform,1000000,0.138168
QuickLomuto,int64,1,uniform,1000000,0.139968
QuickLomuto,float,1,uniform,1000000,0.121159
QuickLomuto,double,1,uniform,1000000,0.123046
QuickLomuto,int32,1,uniform,5000000,0.762384
QuickLomuto,int64,1,uniform,5000000,0.815415
QuickLomuto,float,1,uniform,5000000,0.750499
QuickLomuto,double,1,uniform,5000000,0.820286
QuickLomuto,int32,1,uniform,10000000,1.52312
QuickLomuto,int64,1,uniform,10000000,1.45912
QuickLomuto,float,1,uniform,10000000,1.34042
QuickLomuto,double,1,uniform,10000000,1.35854
