Method,Type,Status,Distribution,Size,Time
Shell_Sedgewick,int32,1,normal,100,1.24332e-005
Shell_Sedgewick,int64,1,normal,100,2.45007e-005
Shell_Sedgewick,float,1,normal,100,3.65682e-006
Shell_Sedgewick,double,1,normal,100,4.0225e-006
Shell_Sedgewick,int32,1,normal,1000,0.000100928
Shell_Sedgewick,int64,1,normal,1000,6.10688e-005
Shell_Sedgewick,float,1,normal,1000,6.5457e-005
Shell_Sedgewick,double,1,normal,1000,0.000136399
Shell_Sedgewick,int32,1,normal,10000,0.00110546
Shell_Sedgewick,int64,1,normal,10000,0.000922981
Shell_Sedgewick,float,1,normal,10000,0.00100051
Shell_Sedgewick,double,1,normal,10000,0.00102537
Shell_Sedgewick,int32,1,normal,100000,0.013264
Shell_Sedgewick,int64,1,normal,100000,0.0147147
Shell_Sedgewick,float,1,normal,100000,0.0157499
Shell_Sedgewick,double,1,normal,100000,0.0172572
Shell_Sedgewick,int32,1,normal,500000,0.106263
Shell_Sedgewick,int64,1,normal,500000,0.0952301
Shell_Sedgewick,float,1,normal,500000,0.0913509
Shell_Sedgewick,double,1,normal,500000,0.0883874
Shell_Sedgewick,int32,1,normal,1000000,0.194479
Shell_Sedgewick,int64,1,normal,1000000,0.184527
Shell_Sedgewick,float,1,normal,1000000,0.212872
Shell_Sedgewick,double,1,normal,1000000,0.249078
Shell_Sedgewick,int32,1,normal,5000000,1.15383
Shell_Sedgewick,int64,1,normal,5000000,1.28654
Shell_Sedgewick,float,1,normal,5000000,1.28625
Shell_Sedgewick,double,1,normal,5000000,1.39062
Shell_Sedgewick,int32,1,normal,10000000,2.50518
Shell_Sedgewick,int64,1,normal,10000000,2.81658
Shell_Sedgewick,float,1,normal,10000000,2.70011
Shell_Sedgewick,double,1,normal,10000000,2.91396
