Method,Type,Status,Distribution,Size,Time
Standart,int32,1,uniform,100,5.8509e-006
Standart,int64,1,uniform,100,3.65682e-006
Standart,float,1,uniform,100,4.0225e-006
Standart,double,1,uniform,100,4.38818e-006
Standart,int32,1,uniform,1000,5.77777e-005
Standart,int64,1,uniform,1000,5.37552e-005
Standart,float,1,uniform,1000,5.7412e-005
Standart,double,1,uniform,1000,5.96061e-005
Standart,int32,1,uniform,10000,0.000794626
Standart,int64,1,uniform,10000,0.000566441
Standart,float,1,uniform,10000,0.00115665
Standart,double,1,uniform,10000,0.000655667
Standart,int32,1,uniform,100000,0.00838691
Standart,int64,1,uniform,100000,0.00840702
Standart,float,1,uniform,100000,0.0116616
Standart,double,1,uniform,100000,0.0101897
Standart,int32,1,uniform,500000,0.0473404
Standart,int64,1,uniform,500000,0.0440039
Standart,float,1,uniform,500000,0.053233
Standart,double,1,uniform,500000,0.0560773
Standart,int32,1,uniform,1000000,0.0895339
Standart,int64,1,uniform,1000000,0.0914292
Standart,float,1,uniform,1000000,0.103168
Standart,double,1,uniform,1000000,0.0973591
Standart,int32,1,uniform,5000000,0.729039
Standart,int64,1,uniform,5000000,0.710707
Standart,float,1,uniform,5000000,1.03932
Standart,double,1,uniform,5000000,0.919855
Standart,int32,1,uniform,10000000,1.13102
Standart,int64,1,uniform,10000000,1.20361
Standart,float,1,uniform,10000000,1.17793
Standart,double,1,uniform,10000000,1.48362
